GEOID,dac_status,nearest_sta_miles,second_nearest_sta_miles,stas_05mi,stas_10mi,stas_20mi,stas_55mi,stations,bg_sta1d,bg_sta2d
060014057001,not DAC status,1.6622379226837503,4.006286669386868,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014057002,not DAC status,2.266861877501856,4.610910624204975,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014057003,not DAC status,1.9137338886795876,4.257782635382705,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014058001,not DAC status,2.6375436357857507,4.981592382488869,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014058002,not DAC status,2.090959070853797,4.435007817556914,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014058003,not DAC status,2.1550137972219563,4.499062543925074,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014058004,not DAC status,2.1898532916646625,4.53390203836778,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014059011,not DAC status,2.7864344251239763,4.671434781615016,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014059012,not DAC status,2.7652486175846884,4.874593707035537,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014059013,not DAC status,2.680875898114402,4.677039599978448,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014059021,not DAC status,2.430049612609564,4.539394702060412,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014059022,not DAC status,2.305875898114402,4.302039599978448,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014060001,85-90%,2.5098949613984485,3.9837160121386224,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014060002,85-90%,2.0780848753930385,3.6872020530916663,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014060003,85-90%,1.745637377818682,3.33427154575351,2,3,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014061001,85-90%,3.90940125673862,5.575285292038453,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014061002,85-90%,4.470124192481867,6.1360082277817,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014061003,85-90%,3.9778061167564998,5.647405496337209,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014061004,85-90%,3.30678282938476,4.972666864684595,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014062011,75-80%,3.1398557873522797,5.136019489216326,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014062012,75-80%,3.003661757501533,4.999825459365579,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014062013,75-80%,3.0733134987950654,5.069477200659112,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014062014,75-80%,3.1311517583149766,4.885595337182624,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014062021,not DAC status,3.2144826530239214,5.210646354887968,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014062022,not DAC status,3.462301736099231,5.216745314966879,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014062023,not DAC status,3.3649801654617324,5.3611438673257785,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014063001,not DAC status,3.0376829047302074,5.381731651433326,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014063002,not DAC status,3.0569615116953814,5.4010102583985,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014063003,not DAC status,2.612633021780463,4.956681768483582,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014063004,not DAC status,2.656200352203661,5.00024909890678,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
